4704,b2539-hcaF
4705,b2540-hcaC
4706,b2541-hcaB
4707,b2542-hcaD
4708,b3547-yhjX
4715,b0473-htpG
4716,b0553-nmpC
4717,b0820-ybiT
4718,b2554-glrR
4719,b2659-csiD
4720,b2660-lhgO
4721,b2661-gabD
4722,b2662-gabT
4723,b2663-gabP
4724,b2664-csiR
4725,b2669-stpA
4726,b2684-mprA
4727,b2685-emrA
4728,b2686-emrB
4729,b2697-alaS
4730,b2702-srlA
4731,b2703-srlE
4732,b2704-srlB
4733,b2705-srlD
4734,b2706-gutM
4735,b2707-srlR
4736,b2708-gutQ
4737,b2709-norR
4738,b2710-norV
4739,b2711-norW
4740,b2714-ascG
4741,b2715-ascF
4742,b2716-ascB
4743,b2781-mazG
4744,b2782-mazF
4745,b2783-mazE
4746,b0880-cspD
4747,b2741-rpoS
4748,b2799-fucO
4749,b2800-fucA
4750,b2801-fucP
4751,b2802-fucI
4752,b2803-fucK
4753,b2804-fucU
4754,b2805-fucR
4755,b2808-gcvA
4756,b2838-lysA
4757,b2839-lysR
4758,b2903-gcvP
4759,b2904-gcvH
4760,b2905-gcvT
4761,b2975-glcA
4762,b2976-glcB
4763,b2977-glcG
4764,b2979-glcD
4765,b2980-glcC
4766,b3010-yqhC
4767,b3011-yqhD
4768,b3012-dkgA
4769,b3021-mqsA
4770,b3022-mqsR
4771,b3025-qseB
4772,b3026-qseC
4773,b3060-ttdR
4774,b3061-ttdA
4775,b3062-ttdB
4776,b3063-ttdT
4777,b3070-yqjH
4778,b3071-yqjI
4779,b3075-ebgR
4780,b3076-ebgA
4781,b3077-ebgC
4782,b0403-malZ
4783,b1521-uxaB
4784,b3091-uxaA
4785,b3092-uxaC
4786,b3094-exuR
4787,b3113-tdcF
4788,b3114-tdcE
4789,b3115-tdcD
4790,b3116-tdcC
4791,b3117-tdcB
4792,b3118-tdcA
4793,b3119-tdcR
4794,b3131-agaR
4795,b3132-kbaZ
4796,b3133-agaV
4797,b3134-agaW
4798,b3135-agaA
4799,b3136-agaS
4800,b3137-kbaY
4801,b3138-agaB
4802,b3139-agaC
4803,b3140-agaD
4804,b3141-agaI
4805,b3221-yhcH
4806,b3222-nanK
4807,b3223-nanE
4808,b3224-nanT
4809,b3225-nanA
4810,b3226-nanR
4811,b3255-accB
4812,b3256-accC
4813,b3264-envR
4814,b3292-zntR
4815,b3416-malQ
4816,b3417-malP
4817,b3421-rtcB
4818,b3422-rtcR
4819,b3469-zntA
4820,b3571-malS
4821,b4032-malG
4822,b4033-malF
4823,b4034-malE
4824,b4035-malK
4825,b4036-lamB
4826,b4037-malM
4827,b4279-yjhB
4828,b4280-yjhC
4829,b4309-nanS
4830,b4310-nanM
4831,b4311-nanC
4832,b4312-fimB
4833,b4322-uxuA
4834,b4323-uxuB
4835,b4324-uxuR
4836,b4471-tdcG
4837,b4475-rtcA
4838,b1237-hns
4839,b2231-gyrA
4840,b2239-glpQ
4841,b2240-glpT
4842,b2241-glpA
4843,b2242-glpB
4844,b2243-glpC
4845,b3413-gntX
4846,b3414-nfuA
4847,b3415-gntT
4848,b3423-glpR
4849,b3426-glpD
4850,b3437-gntK
4851,b3438-gntR
4852,b3476-nikA
4853,b3477-nikB
4854,b3478-nikC
4855,b3479-nikD
4856,b3480-nikE
4857,b3481-nikR
4858,b3491-yhiM
4859,b3501-arsR
4860,b3502-arsB
4861,b3503-arsC
4862,b3506-slp
4863,b3507-dctR
4864,b3556-cspA
4865,b3564-xylB
4866,b3565-xylA
4867,b3566-xylF
4868,b3567-xylG
4869,b3568-xylH
4870,b3569-xylR
4871,b3574-yiaJ
4872,b3575-dlgD
4873,b3576-yiaL
4874,b3577-yiaM
4875,b3578-yiaN
4876,b3579-yiaO
4877,b3580-lyx
4878,b3581-sgbH
4879,b3582-sgbU
4880,b3583-sgbE
4881,b3599-mtlA
4882,b3600-mtlD
